Title,Director,Cast,Genre,Notes
Das Baje a.k.a. 10 O'Clock,Raja Nene,"Paresh Bannerjee, Urmila Vasant Thengdi, Baby Shakuntala, Manaji Rao, Devraj, Shiraz","Romance, Drama","Music: Keshavrao Bhole
Lyrics: Mukhram Sharma Ashant"
Daughter of the Jungle a.k.a. Vanasundari,Ramanlal Desai,"Sunetra, Baburao Pehalwan, Brijrani, Mirajkar, Bose, Amir Bano, Ali","Action, Adventure","Music: Shantaram Manjrekar
Lyrics: Ehsan Rizvi"
Dhiraj,Chaturbhuj Doshi,"Sitara Devi, Ishwarlal, Rajkumari Shukla, Kesari, Khatoon, Bhagwandas",Social,"Music: Gyan Dutt
Lyrics: Pandit Indra"
Dillagi,Balwant Bhatt,"Hansa Wadkar, Kumar, Sushil Kumar, Anuradha, Agha",Social,"Music: Pratap Mukherjee
Lyrics:"
Dukh Sukh,Ram Daryani,"Sitara Devi, Vasanti, Rama Shukul, Pratima Devi, Mukesh (actor), A, Shah, Khatoon, Mukesh",Social,"Music: Khemchand Prakash
Lyrics: Wali Sahab"
Duniya Ek Tamasha,Dwarka Khosla,"Sardar Akhtar, W. M. Khan, Urmila, Gope, Shyam Sunder, Minoo Cooper, Devaskar",Social,"Music:
Lyrics:"
Duniya Tumhari Hai,G.P. Pawar,"Nandrekar, Kanta Kumari, Sadiq, Madhukar Gupte, N. A. Ansari",Social,"Music: S. N. Tripathi
Lyrics: I. C. Kapoor"
Ek Raat,Wahid-ud-din Zia-ud-din Ahmed,"Prithviraj Kapoor, Nina, K. N. Singh, Mubarak, Prakash, Rajkumari Shukla, Firoza Begum, Gulab, Bibijan, Yusuf, Mumtaz",Social,"Music: S. K. Pal
Lyrics: Pandit Indra"
Fariyaad,Jayant Desai,"Noor Jehan, Mubarak, Ishwarlal, Rama Shukal, Shamim, Alaknanda",Social,"Music: Khemchand Prakash
Lyrics: D. N. Madhok"
Farman,Nanubhai Vakil,"Anil Kumar, Sarojini, W. M. Khan, Ranibala, Anwaribai, S. Nazir, Sadiq",Social,"Music: Damodar Sharma
Lyrics: Ramesh Chandra Pandey, I. C. Kapoor, Harbans, Safdar Aah, Gaskar Delahari, Roopbani"
Garib,Ramchandra Thakur,"Surendra, Veena Kumari, N. A. Ansari, Rose, Agha",Social,"Music: Anil Biswas, Ashok Ghosh
Lyrics: Safdar Aah, Pandit Indra (1)"
Ghar Sansar a.k.a. Homelife,V.M. Vyas,"Sardar Akhtar, Mazhar Khan, Nazir, Kajjan, Kalyani, Mirza Musharaf","Family, Social, Drama","Music: Shyam Babu Pathak
Lyrics:"
Gora Kumbhar,Anand Kumar,Lalita Pawar,"Biopic, Drama","Music:
Lyrics:"
Haso Haso Ai Duniyawallaon (Haso Haso Ae Duniya Walo),Dwarka Khosla,"Rattanbai, Devaskar, Gope, Shahzadi, Samson",Social,"Music: First film as independent MD C. Ramchandra
Lyrics: Waheed Qureshi"
Jawab,P.C. Barua,"Jamuna, Kanan Devi, Ratin Banerjee, P.C. Barua, Ahindra Choudhury, Devbala, Tulsi Chakraborty, Asit Baran, Bikram Kapoor",Social,"Music: Kamal Dasgupta
Lyrics: Bekal, Buddhi Chandra Agrawal Madhur"
